: model_name -> String
create_permissions: p -> Permission
create_permissions: p -> Permission
create_permissions: p -> Permission
create_permissions: p -> Permission
create_permissions: folder -> Folder
create_permissions: p -> Permission
create_permissions: p -> Permission
create_permissions: p -> Permission
create_permissions: p -> Permission
create_permissions: p -> Permission
create_permissions: p -> Permission
create_permissions: folder -> Folder
create_permissions: p -> Permission
create_permissions: p -> Permission
create: @group -> Group
empty?: @folders -> Array
empty?: @files -> Array
