transaction TXN
save INSERT
save! INSERT
find SELECT
create_with INSERT
distinct SELECT
from SELECT
group GROUP
having SELECT
includes SELECT
join JOIN
lock TRANSACTION
none SELECT
order SELECT
preload SELECT
readonly SELECT
references SELECT
reorder SELECT
reverse_order SELECT
select SELECT
uniq SELECT
where SELECT
new_record INSERT
new_record? INSERT
first SELECT
first! SELECT
update_counters UPDATE
count SELECT
execute UNKNOWN
first_or_initialize SELECT
find_by_is_admin SELECT
find_by_id SELECT
find_each SELECT
try SELECT
